Track ID,Type & Color,Plate Number,Max Speed (km/h),Avg Speed (km/h),Direction,Lane,Last Behavior,Driver Status,Wrong Way,Sudden Stop,First Frame,Last Frame
1,⏳,GXN 54321 (?),9.9,4.8,STATIONARY,LEFT,STOPPED,N/A,NO,NO,1,44
2,⏳,—,44.0,28.8,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,13
3,⏳,—,14.5,8.4,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,44
4,⏳,—,16.2,10.5,STATIONARY,LEFT,SLOW,N/A,NO,NO,1,44
5,⏳,—,38.5,31.5,STATIONARY,RIGHT,NORMAL,N/A,NO,NO,1,26
6,⏳,—,26.4,15.0,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,44
7,⏳,—,42.0,13.9,STATIONARY,LEFT,SLOW,N/A,NO,NO,1,44
8,⏳,—,69.8,48.0,DOWN,RIGHT,WRONG WAY,N/A,YES,NO,1,44
9,⏳,—,24.5,13.6,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,37
10,⏳,—,58.8,27.8,STATIONARY,LEFT,NORMAL,N/A,YES,NO,1,44
11,⏳,—,88.0,31.2,STATIONARY,LEFT,NORMAL,N/A,YES,NO,1,44
12,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,1,1
13,⏳,—,19.2,16.2,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,9
14,⏳,—,110.3,106.3,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,38
15,⏳,—,45.5,32.5,STATIONARY,LEFT,NORMAL,N/A,NO,NO,1,31
16,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,5,5
17,⏳,—,40.0,16.9,STATIONARY,LEFT,NORMAL,N/A,NO,NO,7,44
23,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,11,11
25,⏳,—,37.3,26.9,UP,RIGHT,NORMAL,N/A,NO,NO,14,35
26,⏳,—,91.7,82.1,DOWN,LEFT,NORMAL,N/A,NO,NO,16,36
29,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,18,18
30,⏳,—,0.0,0.0,STATIONARY,RIGHT,STOPPED,N/A,NO,NO,22,24
31,⏳,—,72.1,35.9,STATIONARY,LEFT,NORMAL,N/A,NO,NO,23,44
32,⏳,—,38.6,26.5,STATIONARY,LEFT,NORMAL,N/A,NO,NO,24,44
34,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,30,33
36,⏳,—,0.0,0.0,STATIONARY,RIGHT,STOPPED,N/A,NO,NO,36,38
37,⏳,—,0.0,0.0,STATIONARY,RIGHT,STOPPED,N/A,NO,NO,41,41
38,⏳,—,0.0,0.0,STATIONARY,LEFT,STOPPED,N/A,NO,NO,42,44
